store,_product_websites,_attribute_set,type,group_flavor,category_ids,sku,has_options,upc_code,name,meta_title,meta_description,image,small_image,thumbnail,gallery,url_key,url_path,page_layout,options_container,msrp_enabled,msrp_display_actual_price_type,image_label,small_image_label,thumbnail_label,brand,bedding_pattern,priceper,averageweight,price,unit,special_price,weight,msrp,gift_wrapping_price,status,is_recurring,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,blacknwhite_prcustom,blacknwhite_prtabs,blacknwhite_prrelatedcontent,manufacturer_info,cooking,freezing,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,country_of_manufacture,custom_design,gift_wrapping_available,gift_message_available,color,homeware_style,material,bed_bath_type,decor_type,home_decor_type,blacknwhite_prsku,blacknwhite_prlayout,blacknwhite_prprevnext,blacknwhite_prmoreviews,blacknwhite_prrelated,blacknwhite_relatedpos,blacknwhite_prcolleteral,blacknwhite_productimg,blacknwhite_prbrand,blacknwhite_prbrandlink,blacknwhite_prbrandtarget,blacknwhite_prbrandpos,blacknwhite_prsidebar
admin,base,Grocery,simple,7,"4,12,49",gro0068,0,6672101400,OREO CHOCOLATE CREME,,,,,,,oreo-chocolate-creme,oreo-chocolate-creme.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,0.35,,,1,No,"Catalog, Search",Taxable Goods,COOKIES,COOKIES,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,OREO CHOCOLATE CREME,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,7,"4,10,44",gro0069,0,6672101426,NEWTON FIG,,,,,,,newton-fig,newton-fig.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,0.34,,,1,No,"Catalog, Search",Taxable Goods,COOKIES,COOKIES,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,NEWTON FIG,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,7,"4,11,42",gro0070,0,6672101519,MINI CHIPS AHOY,,,,,,,mini-chips-ahoy,mini-chips-ahoy.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,0.225,,,1,No,"Catalog, Search",Taxable Goods,COOKIES,COOKIES,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,MINI CHIPS AHOY,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,7,"4,12,41",gro0071,0,6672101523,COFFEE BREAKS CINNAMON RAISIN,,,,,,,coffee-breaks-cinnamon-raisin,coffee-breaks-cinnamon-raisin.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,0.35,,,1,No,"Catalog, Search",Taxable Goods,COOKIES,COOKIES,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,COFFEE BREAKS CINNAMON RAISIN,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,7,"4,10,48",gro0072,0,6672101524,TEDDY GRAHAMS OATMEAL,,,,,,,teddy-grahams-oatmeal,teddy-grahams-oatmeal.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,0.225,,,1,No,"Catalog, Search",Taxable Goods,COOKIES,COOKIES,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,TEDDY GRAHAMS OATMEAL,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,7,"4,11,50",gro0073,0,6672101110,CHEWY CHIPS AHOY DOUBLE CHOCOLATE,,,,,,,chewy-chips-ahoy-double-chocolate,chewy-chips-ahoy-double-chocolate.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,0.35,,,1,No,"Catalog, Search",Taxable Goods,COOKIES,COOKIES,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,CHEWY CHIPS AHOY DOUBLE CHOCOLATE,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,7,"4,12,45",gro0074,0,6672101139,MAPLE LEAF,,,,,,,maple-leaf,maple-leaf.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,0.35,,,1,No,"Catalog, Search",Taxable Goods,COOKIES,COOKIES,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,MAPLE LEAF,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,7,"4,10,49",gro0075,0,6672101305,COCOA TEDDY GRAHAMS,,,,,,,cocoa-teddy-grahams,cocoa-teddy-grahams.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,0.225,,,1,No,"Catalog, Search",Taxable Goods,COOKIES,COOKIES,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,COCOA TEDDY GRAHAMS,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,7,"4,11,44",gro0076,0,6672101306,TEDDY GRAHAMS HONEY,,,,,,,teddy-grahams-honey,teddy-grahams-honey.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,0.225,,,1,No,"Catalog, Search",Taxable Goods,COOKIES,COOKIES,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,TEDDY GRAHAMS HONEY,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Grocery,simple,7,"4,12,42",gro0077,0,6672101307,TEDDY GRAHAMS CHOCOLATEY CHIP,,,,,,,teddy-grahams-chocolatey-chip,teddy-grahams-chocolatey-chip.html,1 column,Product Info Column,Use config,Use config,,,,CHRISTIE,,,,35.55,,,0.225,,,1,No,"Catalog, Search",Taxable Goods,COOKIES,COOKIES,,,,,,KRAFT CANADA,Content will be updated,Content will be updated,,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,TEDDY GRAHAMS CHOCOLATEY CHIP,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,
